code,mean,sd,history_ensemble,mu_sigma_30,naive_30,naive_30_2.0,naive_30_3.0,naive_30_4.0,xgboost_30
stock101207,0.4122886582472883,0.20833547228941748,NA,NA,NA,NA,NA,NA,NA
stock101895,0.41212817998146073,0.40372801725965923,NA,NA,NA,NA,NA,NA,NA
stock103600,0.40937108725755483,0.23893935480503686,NA,NA,NA,NA,NA,NA,NA
stock102190,0.4092785757737191,0.15952510688263938,NA,NA,NA,NA,NA,NA,NA
stock103260,0.4003304903351097,0.599750154435392,NA,NA,NA,NA,NA,NA,NA
stock101455,0.3978136198184444,0.10793277172012138,NA,NA,NA,NA,NA,NA,NA
stock101247,0.3962229020975752,0.17836249447504432,NA,NA,NA,NA,NA,NA,NA
stock100022,0.3944673040718774,0.16314496511503437,NA,NA,NA,NA,NA,NA,NA
stock102330,0.39166992654093485,0.21767298820123876,NA,NA,NA,NA,NA,NA,NA
stock102790,0.388552483125939,0.25508678703211,NA,NA,NA,NA,NA,NA,NA
stock101422,0.3865279629463822,0.30320726143002774,NA,NA,1,1,1,1,NA
stock102323,0.3853326500048212,0.25125498185002143,NA,NA,NA,NA,NA,NA,NA
stock103364,0.38329636255467775,0.27739173915537774,NA,NA,NA,NA,NA,NA,NA
stock101688,0.3775412690152435,0.2079200201100789,NA,NA,NA,NA,NA,NA,NA
stock101156,0.3758982984889366,0.1758838748834696,NA,NA,NA,NA,NA,NA,NA
stock100003,0.3740945240140439,0.1871071081499687,NA,NA,NA,NA,NA,NA,NA
stock103127,0.3737988025059621,0.27529581626081917,NA,NA,NA,NA,NA,NA,NA
stock102801,0.373285485605221,0.21238422761828613,NA,NA,NA,NA,NA,NA,NA
stock100126,0.37027500596813645,0.3893610581076874,NA,NA,NA,NA,NA,NA,NA
stock102376,0.36702034380881066,0.23766249895109282,NA,NA,NA,NA,NA,NA,NA
stock101677,0.3666011410336917,0.2757941394417019,NA,NA,NA,NA,NA,NA,NA
stock101751,0.3640812849856589,0.21447211457033127,NA,NA,NA,NA,NA,NA,NA
stock103436,0.3622835206517491,0.3522450820770394,1,NA,NA,NA,NA,NA,1
stock103327,0.36186585145757577,0.20112260806227195,NA,NA,NA,NA,NA,NA,NA
stock102386,0.3615305762830651,0.15494173638016345,NA,NA,NA,NA,NA,NA,NA
stock100066,0.35910786190670996,0.15833371719180414,NA,NA,NA,NA,NA,NA,NA
stock102297,0.3578224101935159,0.25361406343737963,NA,NA,NA,NA,NA,NA,NA
stock101854,0.353358880743559,0.1197160739359307,NA,1,NA,NA,NA,NA,NA
stock101167,0.3507626826834032,0.20233807466917908,NA,NA,NA,NA,NA,NA,NA
stock102212,0.3473635856192811,0.11730341418894491,NA,NA,NA,NA,NA,NA,NA
stock102100,0.34602980911099235,0.34256755456097354,NA,NA,NA,NA,NA,NA,NA
stock103177,0.3450513477045729,0.20652698860562635,NA,NA,NA,NA,NA,NA,NA
stock102574,0.3444929948204945,0.18122385157885804,NA,NA,NA,NA,NA,NA,NA
stock101080,0.3433579481058471,0.29389710802859825,NA,NA,NA,NA,NA,NA,NA
stock103246,0.3406267942121488,0.2873361155801498,NA,NA,NA,NA,NA,NA,NA
stock100061,0.34046082336733535,0.16463207350895442,NA,1,NA,NA,NA,NA,NA
stock100678,0.33598960906241343,0.1836507026611918,NA,NA,NA,NA,NA,NA,NA
stock102177,0.3342494900166551,0.2433959839359845,NA,NA,NA,NA,NA,NA,NA
stock100643,0.3341355444604847,0.20843008627199394,NA,NA,NA,NA,NA,NA,NA
stock102843,0.3319595845858719,0.15677389869254274,NA,NA,NA,NA,NA,NA,NA
stock102791,0.32913188985029446,0.18163457743511793,NA,1,NA,NA,NA,NA,NA
stock102563,0.32388912775920503,0.27885612375830954,NA,1,1,NA,1,1,NA
stock102223,0.3236177645416842,0.21214509141431917,NA,NA,NA,NA,NA,NA,NA
stock101679,0.3234460544936183,0.13670023455682828,NA,NA,NA,NA,NA,NA,NA
stock100170,0.3224664708060149,0.12745828084685473,NA,NA,NA,NA,NA,NA,NA
