"enterprise","record_number","msa","perc_minority","tract_income_ratio","borrower_income_ratio","loan_purpose","federal_guarantee","borrower_race","co_borrower_race","borrower_gender","co_borrower_gender","num_units","affordability","year","type"
2,958,0,1,2,2,2,4,5,9,1,5,1,9,2009,1
2,518,1,1,2,3,8,4,7,5,1,2,1,9,2008,0
1,995,1,1,2,2,8,4,5,9,2,4,1,4,2012,0
1,61,1,2,2,3,1,4,5,9,2,4,1,4,2010,0
1,501,1,2,2,3,1,4,5,5,1,2,1,4,2015,1
1,877,1,1,3,3,1,4,9,9,3,4,1,4,2014,1
1,523,1,1,3,3,8,4,5,5,1,2,1,4,2008,0
2,412,1,2,3,3,2,4,5,9,1,5,1,4,2014,1
1,841,1,3,1,3,1,4,7,7,1,2,1,4,2010,0
1,591,0,1,2,3,1,4,5,9,1,4,1,4,2015,0
2,244,0,1,2,1,2,4,5,5,1,2,1,3,2009,1
1,703,1,2,3,1,8,4,5,9,2,4,1,3,2012,0
1,292,1,1,3,3,1,4,5,5,1,1,1,4,2014,1
1,519,1,2,3,3,8,4,5,9,9,4,1,4,2010,0
2,503,1,1,2,1,1,4,5,5,1,2,1,3,2009,1
1,191,1,2,3,3,2,4,5,9,1,4,1,4,2008,1
2,518,1,3,3,3,1,4,2,9,1,5,1,4,2012,0
2,221,1,1,3,3,8,4,5,9,2,5,1,9,2009,0
1,245,1,2,2,3,2,4,9,9,3,3,1,4,2013,1
2,258,1,2,2,3,1,4,5,5,1,1,1,4,2012,1
1,786,1,2,2,1,2,4,5,9,1,4,1,3,2011,1
1,180,1,3,2,2,2,4,9,9,2,4,1,4,2012,1
1,175,1,2,2,2,1,4,5,9,1,4,1,4,2014,1
1,374,1,1,3,3,2,4,5,9,1,4,1,4,2010,1
1,295,1,2,2,3,1,4,9,9,1,2,1,4,2013,1
1,823,0,1,2,3,8,4,5,9,1,4,1,4,2010,0
1,996,1,2,2,2,1,4,5,9,1,4,1,4,2014,1
2,116,1,3,1,2,1,4,9,9,3,5,1,1,2011,1
2,346,1,2,3,3,2,4,5,5,1,2,1,4,2015,1
1,378,1,1,3,3,1,4,6,9,1,4,1,4,2013,1
1,99,1,2,3,3,8,4,5,9,1,4,1,4,2012,0
1,18,1,2,2,1,1,4,5,5,1,2,1,3,2010,0
1,46,0,2,2,3,8,4,2,9,2,4,1,4,2011,0
1,735,1,3,1,2,8,4,5,5,1,2,1,1,2012,0
1,523,1,3,2,3,8,4,5,7,1,2,1,4,2012,0
1,665,1,2,2,2,1,4,5,9,1,4,1,4,2013,1
1,328,1,1,3,2,1,4,5,5,1,2,1,4,2008,1
1,512,1,2,3,3,1,4,5,5,2,1,1,4,2015,0
2,341,1,1,2,3,1,4,5,5,1,2,1,4,2015,1
1,636,1,1,2,3,2,4,5,5,1,2,1,4,2009,1
1,457,1,1,2,3,2,4,5,9,1,4,1,4,2009,1
1,690,1,3,1,3,2,4,9,9,3,4,1,4,2010,1
2,124,1,1,2,3,2,4,5,5,1,2,1,4,2012,1
2,942,1,1,2,1,8,4,5,5,1,2,1,3,2009,0
2,935,0,1,2,2,8,4,5,9,2,5,1,4,2011,0
1,23,1,2,2,2,1,4,2,9,2,4,1,4,2015,1
1,223,1,3,1,3,2,4,5,5,1,9,1,4,2012,1
2,385,1,2,2,3,2,4,2,9,1,5,1,9,2008,1
1,866,1,2,2,3,8,4,5,5,1,2,1,4,2009,0
1,481,1,3,2,2,9,3,5,5,2,1,1,4,2008,0
2,98,1,3,1,9,2,4,9,9,9,9,1,9,2008,1
2,983,1,3,2,3,2,4,2,9,1,5,1,4,2012,1
1,794,1,1,3,3,8,4,5,9,2,9,1,4,2008,0
1,811,1,1,3,3,8,4,9,9,9,4,1,4,2009,0
1,955,1,3,1,1,2,4,7,7,1,2,1,2,2013,1
1,217,1,3,1,3,8,4,9,9,3,3,1,4,2014,0
1,377,1,3,2,1,8,4,5,2,1,2,1,3,2011,0
1,268,1,2,2,3,8,4,5,5,2,1,1,4,2013,0
2,362,1,3,3,3,8,4,2,2,1,2,1,4,2010,0
1,367,0,2,3,2,1,4,5,5,1,2,1,4,2014,1
2,990,1,1,3,1,1,4,5,9,1,5,1,3,2009,1
1,35,1,1,2,1,8,4,5,9,9,3,1,3,2010,0
2,48,1,3,2,3,2,4,5,5,1,2,1,4,2013,1
1,435,1,3,3,3,2,4,7,7,2,1,1,4,2013,1
1,463,1,1,2,2,1,4,2,2,1,2,1,4,2012,0
1,61,0,2,2,3,2,4,5,5,1,1,1,4,2014,1
1,965,1,3,3,3,2,4,5,5,1,2,1,4,2010,1
2,514,1,1,2,2,1,4,5,5,1,2,1,9,2008,1
1,401,1,1,3,3,2,4,9,9,3,4,1,4,2012,1
1,966,0,3,2,3,8,4,5,5,2,1,1,4,2013,0
2,877,1,2,2,2,2,4,5,9,2,5,1,9,2009,1
1,799,1,2,3,3,1,4,5,5,1,2,1,4,2011,1
2,333,1,3,1,2,8,4,3,3,1,2,1,1,2010,0
1,974,1,2,3,3,1,4,5,5,1,2,1,4,2012,0
1,734,0,1,2,3,1,4,5,5,1,2,1,4,2008,0
2,813,1,1,2,3,2,4,5,5,1,2,1,4,2012,1
2,41,1,3,3,3,2,4,5,5,1,2,1,4,2012,1
1,184,0,2,2,3,2,4,5,9,1,4,1,4,2014,1
1,659,1,2,2,3,1,4,5,9,1,4,1,4,2008,0
1,35,0,1,2,1,1,4,9,9,3,4,1,3,2009,0
