code,hclus_tag
stock100878,3
stock100885,1
stock100888,1
stock100899,1
stock100906,2
stock100910,1
stock100911,1
stock100912,1
stock100915,4
stock100918,5
stock100927,2
stock100929,2
stock100932,5
stock100936,5
stock100938,1
stock100940,1
stock100941,1
stock100952,1
stock100955,1
stock100959,1
stock100960,2
stock100961,3
stock100962,1
stock100980,2
stock100982,5
stock100988,2
stock100993,2
stock100994,4
stock100999,1
stock101000,1
stock101001,4
stock101002,2
stock101003,3
stock101008,1
stock101009,1
stock101011,2
stock101015,1
stock101018,1
stock101024,3
stock101035,1
stock101036,4
stock101038,2
stock101039,1
stock101040,1
stock101041,3
stock101044,2
stock101047,4
stock101053,2
stock101057,3
stock101076,1
stock101080,1
stock101082,1
stock101083,4
stock101085,4
stock101089,2
stock101090,1
stock101107,1
stock101108,3
stock101110,1
stock101114,2
stock101121,1
stock101122,1
stock101127,3
stock101132,1
stock101141,1
stock101143,1
stock101144,4
stock101147,1
stock101148,1
stock101155,1
stock101156,2
stock101158,1
stock101164,4
stock101167,3
stock101181,1
stock101182,2
stock101191,2
stock101195,1
stock101197,1
stock101200,2
stock101209,1
stock101210,2
stock101212,3
stock101217,1
stock101220,1
stock101223,1
stock101225,1
stock101229,5
stock101232,1
stock101238,2
stock101239,1
stock101246,1
stock101249,1
stock101254,3
stock101258,1
stock101259,1
stock101276,1
stock101286,1
stock101287,1
stock101304,1
stock101305,1
stock101312,1
stock101314,1
stock101316,1
stock101325,5
stock101327,1
stock101329,1
stock101339,1
stock101354,1
stock101375,3
stock101378,4
stock101383,1
stock101385,1
stock101390,1
stock101394,1
stock101395,1
stock101397,4
stock101398,1
stock101400,1
stock101404,3
stock101408,4
stock101409,1
stock101411,1
stock101413,1
stock101419,5
stock101428,1
stock101431,1
stock101434,4
stock101437,1
stock101439,1
stock101440,2
stock101441,1
stock101444,3
stock101457,5
stock101458,2
stock101459,1
stock101461,5
stock101462,1
stock101463,1
stock101465,1
stock101469,1
stock101471,4
stock101473,1
stock101477,2
stock101485,1
stock101489,1
stock101493,1
stock101494,1
stock101495,1
stock101499,1
stock101505,2
stock101506,2
stock101507,1
stock101515,5
stock101520,2
stock101523,1
stock101536,2
stock101538,1
stock101542,1
stock101545,1
stock101549,1
stock101558,1
stock101559,2
stock101563,1
stock101573,1
stock101574,1
stock101577,1
stock101583,1
stock101586,3
stock101587,1
stock101591,2
stock101594,1
stock101601,2
stock101602,3
stock101611,3
stock101614,1
stock101615,1
stock101618,1
stock101627,1
stock101630,2
stock101632,3
stock101639,2
stock101641,2
stock101642,1
stock101647,1
stock101648,3
stock101650,2
stock101651,3
stock101655,1
stock101659,1
stock101666,1
stock101667,2
stock101674,1
stock101681,1
stock101685,1
stock101687,3
stock101688,1
stock101693,1
stock101708,2
stock101712,1
stock101716,2
stock101720,4
stock101726,1
stock101727,1
stock101730,1
stock101732,5
stock101738,2
stock101739,4
stock101742,1
stock101748,2
stock101756,5
stock101758,1
stock101761,2
stock101762,1
stock101766,1
stock101772,2
stock101775,1
stock101777,1
stock101786,1
stock101790,1
stock101794,2
stock101798,1
stock101812,5
stock101827,1
stock101830,1
stock101848,1
stock101849,1
stock101851,1
stock101856,2
stock101868,1
stock101870,4
stock101872,1
stock101888,1
stock101890,1
stock101891,1
stock101901,3
stock101903,3
stock101909,4
stock101911,1
stock101915,1
stock101935,1
stock101936,1
stock101943,1
stock101953,1
stock101968,1
stock101969,1
stock101973,1
stock101975,2
stock101979,1
stock101983,1
stock101995,1
stock101998,5
stock102004,2
stock102010,4
stock102017,1
stock102021,1
stock102022,1
stock102034,1
stock102036,1
stock102043,1
stock102046,5
stock102049,1
stock102055,4
stock102059,1
stock102060,1
stock102062,1
stock102065,5
stock102073,1
stock102075,1
stock102082,5
stock102083,2
stock102084,1
stock102086,1
stock102097,2
stock102100,1
stock102101,5
stock102112,1
stock102114,1
stock102127,3
stock102129,3
stock102131,2
stock102133,3
stock102137,5
stock102141,1
stock102144,5
stock102156,3
stock102159,3
stock102168,2
stock102172,1
stock102184,1
stock102186,1
stock102198,3
stock102199,1
stock102204,1
stock102207,1
stock102210,1
stock102212,5
stock102216,1
stock102218,1
stock102221,1
stock102226,1
stock102228,1
stock102229,1
stock102232,1
stock102235,1
stock102243,2
stock102249,2
stock102251,2
stock102261,4
stock102264,2
stock102265,1
stock102273,3
stock102279,1
stock102291,1
stock102292,1
stock102297,1
stock102301,2
stock102304,1
stock102305,1
stock102309,1
stock102318,1
stock102319,2
stock102321,1
stock102326,3
stock102327,1
stock102328,1
stock102330,2
stock102337,1
stock102340,2
stock102347,1
stock102351,1
stock102354,1
stock102356,1
stock102359,1
stock102361,5
stock102365,1
stock102367,1
stock102373,3
stock102374,1
stock102382,3
stock102386,2
stock102389,4
stock102393,3
stock102398,1
stock102403,1
stock102407,1
stock102409,1
stock102412,2
stock102418,3
stock102419,1
stock102422,2
stock102429,1
stock102431,1
stock102432,4
stock102433,1
stock102434,1
stock102453,2
stock102467,1
stock102472,1
stock102481,2
stock102494,1
stock102495,4
stock102498,1
stock102503,3
stock102505,1
stock102506,5
stock102507,4
stock102510,3
stock102513,3
