code,hclus_tag
stock103116,1
stock103119,1
stock103120,1
stock103126,5
stock103127,1
stock103133,1
stock103136,1
stock103138,1
stock103143,1
stock103144,1
stock103149,3
stock103157,4
stock103163,1
stock103165,5
stock103167,3
stock103177,4
stock103180,1
stock103184,3
stock103205,1
stock103211,1
stock103223,3
stock103225,1
stock103226,5
stock103227,3
stock103243,3
stock103246,3
stock103254,2
stock103257,1
stock103260,4
stock103262,1
stock103266,3
stock103268,5
stock103313,1
stock103318,1
stock103327,1
stock103328,1
stock103338,4
stock103342,3
stock103350,1
stock103356,1
stock103357,1
stock103367,1
stock103374,1
stock103376,3
stock103382,2
stock103389,4
stock103394,4
stock103395,1
stock103398,5
stock103401,1
stock103404,5
stock103425,3
stock103431,1
stock103438,1
stock103439,1
stock103449,2
stock103455,1
stock103459,1
stock103466,1
stock103468,1
stock103469,4
stock103482,1
stock103488,5
stock103490,3
stock103496,1
stock103497,1
stock103498,3
stock103499,3
stock103505,3
stock103506,1
stock103508,1
stock103510,3
stock103524,5
stock103526,1
stock103529,1
stock103530,1
stock103532,1
stock103538,1
stock103539,1
stock103552,2
stock103554,1
stock103559,1
stock103566,1
stock103568,2
stock103569,1
stock103572,1
stock103574,4
stock103580,1
stock103581,4
stock103586,1
stock103587,1
stock103588,1
stock103589,1
stock103590,1
stock103591,3
stock103595,4
stock103597,1
stock103605,1
stock103609,3
