"","date","CO2","sd"
"508",2017-01-25,2.97084,0.038
"509",2017-01-25,2.93708,0.04
"510",2017-01-25,2.91874,0.0586
"511",2017-01-25,3.13671,0.0349
"512",2017-01-25,3.1084,0.0184
"513",2017-01-25,3.08984,0.0122
"514",2017-01-25,3.16524,0.0677
"515",2017-01-25,3.3142,0.0849
"516",2017-01-25,3.38792,0.0327
"517",2017-01-25,3.54398,0.0561
"518",2017-01-25,3.75612,0.0204
"519",2017-01-25,3.90491,0.1319
"520",2017-01-25,3.89406,0.0415
"521",2017-01-25,3.89869,0.0142
"522",2017-01-26,3.92971,0.0072
"523",2017-01-26,3.95567,0.0494
"524",2017-01-26,3.9717,0.0383
"525",2017-01-26,3.96138,0.0455
"526",2017-01-26,4.07046,0.0577
"527",2017-01-26,3.95379,0.0193
"528",2017-01-26,3.95972,0.0361
"529",2017-01-26,3.90508,0.0317
"530",2017-01-26,3.85373,0.0367
"531",2017-01-26,3.803,0.0402
"532",2017-01-26,3.88191,0.02
"533",2017-01-26,3.83387,0.0098
"534",2017-01-26,3.69111,0.0584
"535",2017-01-26,3.48837,0.0653
"536",2017-01-26,2.23491,0.0225
"537",2017-01-26,2.02841,0.1003
"538",2017-01-26,1.9676,0.0172
"539",2017-01-26,2.008,0.025
"540",2017-01-26,2.21317,0.0659
"541",2017-01-26,2.3439,0.0141
"542",2017-01-26,2.26718,0.0224
"543",2017-01-26,2.21245,0.02
"544",2017-01-26,2.19115,0.0181
"545",2017-01-26,2.23303,0.0787
"546",2017-01-27,NA,NA
"547",2017-01-27,2.23402,0.0151
"548",2017-01-27,2.27042,0.0119
"549",2017-01-27,2.36726,0.0591
"550",2017-01-27,2.49608,0.0294
"551",2017-01-27,2.45371,0.0504
"552",2017-01-27,2.52111,0.0738
"553",2017-01-27,2.54046,0.0602
"554",2017-01-27,2.66218,0.1494
"555",2017-01-27,2.26592,0.0552
"556",2017-01-27,2.10833,0.0464
"557",2017-01-27,1.97976,0.0261
"558",2017-01-27,1.97918,0.0708
"559",2017-01-27,2.23232,0.0173
"560",2017-01-27,2.23478,0.0491
"561",2017-01-27,2.20334,0.0117
"562",2017-01-27,2.25394,0.0132
"563",2017-01-27,2.27922,0.0106
"564",2017-01-27,2.32581,0.0132
"565",2017-01-27,2.38075,0.0149
"566",2017-01-27,2.40626,0.0077
"567",2017-01-27,2.46178,0.0397
"568",2017-01-27,2.52231,0.042
"569",2017-01-27,2.5848,0.1037
"570",2017-01-27,2.59877,0.1023
"571",2017-01-28,2.61795,0.0914
"572",2017-01-28,2.59811,0.0457
"573",2017-01-28,2.57707,0.0229
"574",2017-01-28,2.62785,0.0357
"575",2017-01-28,2.70598,0.1202
"576",2017-01-28,2.70329,0.0351
"577",2017-01-28,2.69032,0.0313
"578",2017-01-28,2.6789,0.0141
"579",2017-01-28,2.73602,0.0242
"580",2017-01-28,2.68609,0.0128
"581",2017-01-28,2.70974,0.0235
"582",2017-01-28,2.64651,0.0146
"583",2017-01-28,2.67437,0.0213
"584",2017-01-28,2.67207,0.0095
"585",2017-01-28,2.65122,0.0066
"586",2017-01-28,2.66185,0.0094
"587",2017-01-28,2.72945,0.0329
"588",2017-01-28,2.80647,0.0459
"589",2017-01-28,2.96794,0.0413
"590",2017-01-28,3.04232,0.0653
"591",2017-01-28,2.98753,0.0582
"592",2017-01-28,3.05885,0.0543
"593",2017-01-28,3.16072,0.1387
"594",2017-01-28,2.99731,0.0388
"595",2017-01-29,NA,NA
"596",2017-01-29,2.87989,0.0564
"597",2017-01-29,2.37885,0.086
"598",2017-01-29,2.4522,0.0094
"599",2017-01-29,2.4599,0.0181
"600",2017-01-29,2.38614,0.0175
"601",2017-01-29,2.35762,0.0035
"602",2017-01-29,2.38024,0.019
"603",2017-01-29,2.39179,0.0057
"604",2017-01-29,2.37497,0.0067
"605",2017-01-29,2.46519,0.0632
"606",2017-01-29,2.62884,0.0151
"607",2017-01-29,2.65703,0.0217
"608",2017-01-29,2.5866,0.0169
"609",2017-01-29,2.87149,0.1605
"610",2017-01-29,3.22349,0.0248
"611",2017-01-29,3.31105,0.0169
"612",2017-01-29,3.34862,0.0087
"613",2017-01-29,3.36507,0.0042
"614",2017-01-29,3.33428,0.0105
"615",2017-01-29,3.34085,0.0155
"616",2017-01-29,3.39624,0.0192
"617",2017-01-29,3.45606,0.0103
"618",2017-01-29,3.50468,0.0251
"619",2017-01-29,3.56664,0.0088
"620",2017-01-30,3.59874,0.0146
"621",2017-01-30,3.67591,0.0247
"622",2017-01-30,3.69569,0.0044
"623",2017-01-30,3.72786,0.0253
"624",2017-01-30,3.77517,0.0089
"625",2017-01-30,3.8561,0.059
"626",2017-01-30,4.06659,0.1157
"627",2017-01-30,3.98077,0.0451
"628",2017-01-30,3.6096,0.0631
"629",2017-01-30,3.46562,0.034
"630",2017-01-30,3.35776,0.022
"631",2017-01-30,3.33959,0.006
"632",2017-01-30,3.30789,0.0083
"633",2017-01-30,3.26361,0.0191
"634",2017-01-30,3.20368,0.0155
"635",2017-01-30,3.17167,0.0107
"636",2017-01-30,3.22713,0.0327
"637",2017-01-30,3.40273,0.0661
"638",2017-01-30,3.75974,0.1267
"639",2017-01-30,3.75835,0.0807
"640",2017-01-30,3.82005,0.0251
"641",2017-01-30,3.87839,0.0615
"642",2017-01-30,3.8232,0.0176
"643",2017-01-30,3.82162,0.0172
"644",2017-01-31,NA,NA
"645",2017-01-31,3.81128,0.0215
"646",2017-01-31,3.82742,0.0193
"647",2017-01-31,3.82757,0.0324
"648",2017-01-31,3.91764,0.0416
"649",2017-01-31,3.97814,0.0563
"650",2017-01-31,4.04277,0.1079
"651",2017-01-31,4.00397,0.0275
"652",2017-01-31,4.03242,0.0555
"653",2017-01-31,3.78392,0.087
"654",2017-01-31,3.55031,0.0465
"655",2017-01-31,3.48711,0.0154
"656",2017-01-31,3.43993,0.0358
"657",2017-01-31,3.27684,0.0297
"658",2017-01-31,3.16149,0.044
"659",2017-01-31,3.05788,0.019
"660",2017-01-31,3.01648,0.0125
"661",2017-01-31,3.09904,0.0398
"662",2017-01-31,3.21139,0.0314
"663",2017-01-31,3.31073,0.0521
"664",2017-01-31,3.3329,0.0889
"665",2017-01-31,3.13553,0.0204
"666",2017-01-31,3.12806,0.0179
"667",2017-01-31,3.17249,0.0265
"668",2017-01-31,3.27998,0.0895
"669",2017-02-01,3.3179,0.039
"670",2017-02-01,3.3532,0.0235
"671",2017-02-01,3.39674,0.0107
"672",2017-02-01,3.39716,0.0055
"673",2017-02-01,3.41427,0.0212
"674",2017-02-01,3.49534,0.0245
"675",2017-02-01,3.55923,0.0196
"676",2017-02-01,3.57185,0.0308
"677",2017-02-01,3.25984,0.0439
"678",2017-02-01,3.19733,0.0123
"679",2017-02-01,3.17493,0.0078
"680",2017-02-01,3.11858,0.0312
"681",2017-02-01,3.01456,0.0129
"682",2017-02-01,2.95952,0.0251
"683",2017-02-01,2.8507,0.0196
"684",2017-02-01,2.82327,0.0097
"685",2017-02-01,2.91224,0.0383
"686",2017-02-01,3.05091,0.0724
"687",2017-02-01,3.22055,0.0439
"688",2017-02-01,3.29495,0.0258
"689",2017-02-01,3.37356,0.0184
"690",2017-02-01,3.49458,0.0969
"691",2017-02-01,3.70472,0.1906
"692",2017-02-01,3.74985,0.1441
"693",2017-02-02,NA,NA
"694",2017-02-02,3.78117,0.0537
"695",2017-02-02,3.79553,0.0551
"696",2017-02-02,3.78327,0.0363
"697",2017-02-02,3.7977,0.0262
"698",2017-02-02,3.78841,0.0285
"699",2017-02-02,3.824,0.0108
"700",2017-02-02,3.83298,0.0247
"701",2017-02-02,3.89627,0.0299
"702",2017-02-02,3.5998,0.0713
"703",2017-02-02,3.49118,0.0321
"704",2017-02-02,3.33067,0.0397
