code,hclus_tag
stock103458,5
stock103460,1
stock103465,1
stock103467,1
stock103472,1
stock103473,1
stock103476,1
stock103484,1
stock103489,2
stock103492,2
stock103502,1
stock103509,3
stock103511,1
stock103512,1
stock103513,3
stock103515,1
stock103516,3
stock103519,2
stock103521,3
stock103522,1
stock103531,1
stock103537,1
stock103541,1
stock103543,3
stock103544,1
stock103545,1
stock103548,2
stock103549,4
stock103550,1
stock103551,2
stock103557,1
stock103564,1
stock103565,3
stock103567,1
stock103577,3
stock103578,1
stock103582,1
stock103584,1
stock103603,1
stock103606,1
stock103608,1
