n_miss,n,cumsum_miss
286,1,0.9108695652173913
287,1,0.9119565217391304
293,1,0.9130434782608695
294,1,0.9141304347826087
297,1,0.9152173913043479
299,1,0.9163043478260869
308,1,0.9173913043478261
309,2,0.9195652173913044
310,1,0.9206521739130434
311,1,0.9217391304347826
316,1,0.9228260869565217
317,1,0.9239130434782609
318,5,0.9293478260869565
323,1,0.9304347826086956
329,2,0.9326086956521739
331,1,0.933695652173913
332,4,0.9380434782608695
334,2,0.9402173913043478
337,2,0.9423913043478261
341,4,0.9467391304347826
342,2,0.9489130434782609
348,1,0.95
350,3,0.9532608695652174
351,1,0.9543478260869566
352,1,0.9554347826086956
353,1,0.9565217391304348
354,2,0.9586956521739131
360,1,0.9597826086956521
362,3,0.9630434782608696
363,2,0.9652173913043478
365,2,0.967391304347826
366,2,0.9695652173913043
368,2,0.9717391304347827
369,1,0.9728260869565217
370,1,0.9739130434782609
372,1,0.975
376,1,0.9760869565217392
381,2,0.9782608695652174
382,1,0.9793478260869565
385,1,0.9804347826086957
388,2,0.9826086956521739
391,1,0.9836956521739131
396,1,0.9847826086956522
397,1,0.9858695652173913
413,1,0.9869565217391304
414,1,0.9880434782608696
418,1,0.9891304347826086
419,1,0.9902173913043478
437,1,0.991304347826087
443,1,0.9923913043478261
472,3,0.9956521739130435
473,1,0.9967391304347826
481,2,0.9989130434782608
487,1,1
