n_miss,n,cumsum_miss
128,4,0.7249466950959488
129,2,0.7270788912579957
130,1,0.7281449893390192
131,1,0.7292110874200426
132,3,0.732409381663113
133,2,0.7345415778251599
134,4,0.7388059701492538
135,5,0.744136460554371
136,3,0.7473347547974414
137,3,0.7505330490405118
138,3,0.753731343283582
139,3,0.7569296375266524
140,1,0.7579957356076759
141,1,0.7590618336886994
142,6,0.7654584221748401
143,5,0.7707889125799574
144,1,0.7718550106609808
145,1,0.7729211087420043
146,5,0.7782515991471215
147,3,0.7814498933901919
148,1,0.7825159914712153
149,2,0.7846481876332623
151,3,0.7878464818763327
152,3,0.7910447761194029
153,2,0.7931769722814499
154,1,0.7942430703624733
155,4,0.7985074626865671
158,1,0.7995735607675906
160,1,0.8006396588486141
161,2,0.802771855010661
162,2,0.8049040511727079
163,1,0.8059701492537313
164,1,0.8070362473347548
166,4,0.8113006396588486
168,3,0.814498933901919
170,2,0.8166311300639659
173,1,0.8176972281449894
174,2,0.8198294243070362
181,1,0.8208955223880597
182,2,0.8230277185501066
184,2,0.8251599147121536
185,1,0.826226012793177
186,1,0.8272921108742004
188,1,0.8283582089552238
189,1,0.8294243070362474
190,1,0.8304904051172708
195,1,0.8315565031982942
196,1,0.8326226012793176
197,1,0.8336886993603412
198,1,0.8347547974413646
199,2,0.8368869936034116
201,1,0.837953091684435
202,1,0.8390191897654584
206,1,0.8400852878464818
207,1,0.8411513859275054
209,3,0.8443496801705757
210,1,0.8454157782515992
211,2,0.847547974413646
214,2,0.849680170575693
218,1,0.8507462686567164
224,2,0.8528784648187633
225,4,0.8571428571428571
226,1,0.8582089552238806
228,2,0.8603411513859275
230,4,0.8646055437100213
235,2,0.8667377398720683
236,1,0.8678038379530917
237,1,0.8688699360341151
240,1,0.8699360341151386
241,2,0.8720682302771855
243,1,0.8731343283582089
244,1,0.8742004264392325
246,1,0.8752665245202559
248,1,0.8763326226012793
249,1,0.8773987206823027
250,2,0.8795309168443497
252,1,0.8805970149253731
256,1,0.8816631130063965
258,2,0.8837953091684435
260,2,0.8859275053304904
261,2,0.8880597014925373
262,1,0.8891257995735607
263,1,0.8901918976545842
265,1,0.8912579957356077
266,2,0.8933901918976546
267,2,0.8955223880597015
270,1,0.896588486140725
271,2,0.8987206823027718
272,1,0.8997867803837953
274,1,0.9008528784648188
277,1,0.9019189765458422
279,1,0.9029850746268657
281,1,0.9040511727078892
290,1,0.9051172707889126
295,1,0.906183368869936
296,1,0.9072494669509595
297,1,0.908315565031983
298,1,0.9093816631130064
300,1,0.9104477611940298
305,1,0.9115138592750534
308,1,0.9125799573560768
314,1,0.9136460554371002
316,1,0.9147121535181236
317,1,0.9157782515991472
318,2,0.917910447761194
320,1,0.9189765458422174
321,1,0.920042643923241
327,1,0.9211087420042644
332,3,0.9243070362473348
333,1,0.9253731343283582
337,2,0.9275053304904051
341,2,0.929637526652452
342,4,0.9339019189765458
345,1,0.9349680170575693
348,1,0.9360341151385928
350,6,0.9424307036247335
355,2,0.9445628997867804
359,1,0.9456289978678039
360,1,0.9466950959488273
361,1,0.9477611940298507
362,2,0.9498933901918977
363,4,0.9541577825159915
364,1,0.9552238805970149
366,1,0.9562899786780383
367,1,0.9573560767590619
369,2,0.9594882729211087
371,1,0.9605543710021321
373,1,0.9616204690831557
379,1,0.9626865671641791
380,1,0.9637526652452025
381,4,0.9680170575692963
384,1,0.9690831556503199
386,1,0.9701492537313433
393,1,0.9712153518123667
394,1,0.9722814498933902
398,1,0.9733475479744137
399,2,0.9754797441364605
402,2,0.9776119402985075
411,1,0.9786780383795309
420,1,0.9797441364605544
421,1,0.9808102345415778
430,1,0.9818763326226013
445,1,0.9829424307036247
448,1,0.9840085287846482
457,1,0.9850746268656716
466,1,0.9861407249466951
472,2,0.988272921108742
473,3,0.9914712153518124
481,3,0.9946695095948828
482,3,0.997867803837953
483,1,0.9989339019189766
484,1,1
